IlmnID	final_gene_name_hg19	final_gene_name_hg38
cg12114524	TNNI1	TNNI1
cg12118011	SOAT1	SOAT1
cg12124478	IQGAP3	IQGAP3
cg12126706	C1orf92	LRRC71
cg12141056	FAM129A	FAM129A
cg12150066	GNB1	GNB1
cg12150066	GNB1	RP1-140A9.1
cg12205230	TPM3	TPM3
cg12217625	C1orf204	C1orf204
cg12217625	C1orf204	VSIG8
cg12274567	SH2D1B	SH2D1B
cg12277666	TDRD5	TDRD5
cg12319004	LEFTY1	LEFTY1
cg12319004	LEFTY1	RP4-559A3.7
cg12336540	RCSD1	RCSD1
cg12336540	RCSD1	RP3-455J7.4
cg12339802	C1orf109	C1orf109
cg12356261	NES	NES
cg12380764	IL19	IL19
cg12386297	MIR205	MIR205
cg12386297	MIR205	MIR205HG
cg12403889	C1orf187	C1orf187
cg12405265	GRHL3	GRHL3
cg12467090	PIK3C2B	PIK3C2B
cg12484113	AHDC1	AHDC1
cg12529228	NHLH1	NHLH1
cg12550731	C1orf21	C1orf21
cg12550731	C1orf21	RP11-382D12.2
cg12588301	CRCT1	CRCT1
cg12588301	CRCT1	LCE3C
cg12592463	C1orf63	RP3-465N24.6
cg12592463	C1orf63	RSRP1
cg12604192	KCNA10	KCNA10
cg12604950	KIAA1614	KIAA1614
cg12610079	C1orf110	C1orf110
cg12613383	PLD5	PLD5
cg12622182	POU3F1	POU3F1
cg12622182	POU3F1	RP5-884C9.2
cg12629244	FAM20B	FAM20B
cg12641660	TTF2	RP11-27K13.3
cg12641660	TTF2	TTF2
cg12671744	FAAH	FAAH
cg12696750	DNALI1	DNALI1
cg12701576	PEX19	PEX19
cg12701576	PEX19	RP11-574F21.3
cg12711814	ENO1	ENO1
cg12711814	ENO1	ENO1-AS1
cg12711814	ENO1	ENO1-IT1
cg12732155	LAPTM5	LAPTM5
cg12769118	C1orf150	GCSAML
cg12792157	MYCBP	MYCBP
cg12792157	MYCBP	RP5-864K19.4
cg12792157	MYCBP	RP5-864K19.6
cg12792157	MYCBP	RP5-864K19.7
cg12806381	PIGV	PIGV
cg12832565	CD160	CD160
cg12858514	PADI3	PADI3
cg12869058	ABCA4	ABCA4
cg12880200	LSM10	LSM10
cg12955127	ATP5F1	ATP5F1
cg12955127	ATP5F1	WDR77
cg12962021	LIN9	LIN9
cg12995941	INSRR	INSRR
cg12995941	INSRR	NTRK1
cg13019092	PDZK1	PDZK1
cg13059495	TPRG1L	RP11-46F15.2
cg13059495	TPRG1L	TPRG1L
cg13080379	TBX15	TBX15
cg13089335	POU2F1	POU2F1
cg13106389	RUNX3	RUNX3
cg13109911	PEA15	PEA15
cg13109911	PEA15	RP11-536C5.7
cg13130398	RABGAP1L	RABGAP1L
cg13149996	EIF4G3	EIF4G3
cg13158571	CYP4X1	CYP4X1
cg13178361	UAP1	RP11-359K18.3
cg13178361	UAP1	UAP1
cg13191808	PCSK9	PCSK9
cg13195486	RRP15	RRP15
cg13199589	RIMKLA	RIMKLA
cg13228642	IER5	IER5
cg13240598	FLVCR1	FLVCR1
cg13240598	FLVCR1	FLVCR1-AS1
cg13262752	YIPF1	DIO1
cg13262752	YIPF1	YIPF1
cg13282594	BGLAP	BGLAP
cg13282594	BGLAP	PMF1-BGLAP
cg13298382	NIT1	NIT1
cg13298382	NIT1	PFDN2
cg13299148	COL16A1	COL16A1
cg13304609	IFI44L	IFI44L
cg13380502	GPR3	GPR3
cg13397379	OR2C3	GCSAML
cg13397379	OR2C3	OR2C3
cg13399816	GNG12	GNG12
cg13399816	GNG12	GNG12-AS1
cg13424673	AGBL4	AGBL4
cg13447818	FLG	FLG
cg13447818	FLG	FLG-AS1
cg13461509	ECHDC2	ECHDC2
cg13461622	RUNX3	RUNX3
cg13482485	SNX7	RP11-296E3.2
cg13482485	SNX7	SNX7
cg13501117	WDR8	WRAP73
cg13502356	ZMPSTE24	RP1-39G22.7
cg13502356	ZMPSTE24	ZMPSTE24
cg13547644	ACTA1	ACTA1
cg13555278	EXTL1	EXTL1
cg13589108	FAM5B	BRINP2
cg13619408	SARS	SARS
cg13645078	PHLDA3	PHLDA3
cg13666729	ZBTB8B	RP1-27O5.3
cg13666729	ZBTB8B	ZBTB8B
cg13693652	CLCA2	CLCA2
cg13697387	LCE2A	LCE2A
cg13704271	CCDC28B	CCDC28B
cg13740187	TPM3	TPM3
cg13765621	CD1D	CD1D
cg13783323	EXTL1	EXTL1
cg13791589	SLC45A3	SLC45A3
cg13823136	ST6GALNAC5	ST6GALNAC5
cg13836770	TNFRSF1B	MIR7846
cg13836770	TNFRSF1B	TNFRSF1B
cg13843613	FAM5B	BRINP2
cg13853198	FCER1G	FCER1G
cg13878641	GNAI3	GNAI3
cg13878641	GNAI3	GPR61
cg13908518	AMY2B	AMY2B
cg13908518	AMY2B	RNPC3
cg13911707	ZNF496	ZNF496
cg13912204	SLC19A2	RP1-206D15.6
cg13912204	SLC19A2	SLC19A2
cg13958426	C1orf114	CCDC181
cg13974761	LCE2A	LCE2A
cg13997435	S100A2	S100A2
cg14017991	CCDC21	CEP85
cg14019317	PROX1	PROX1
cg14019317	PROX1	PROX1-AS1
cg14046986	RCSD1	RCSD1
cg14046986	RCSD1	RP3-455J7.4
cg14047008	SERPINC1	SERPINC1
cg14085328	DDX59	DDX59
cg14085328	DDX59	RP11-92G12.3
cg14106085	FOXD2	FOXD2
cg14144728	MIR200B	MIR200B
cg14153654	TNFRSF9	RP5-892F13.2
cg14153654	TNFRSF9	TNFRSF9
cg14163311	RASSF5	RASSF5
cg14171523	SLC25A44	SLC25A44
cg14178899	ERRFI1	ERRFI1
cg14180511	IL10	IL10
cg14183455	MATN1	MATN1
cg14183455	MATN1	MATN1-AS1
cg14186992	ZBTB48	TAS1R1
cg14186992	ZBTB48	ZBTB48
cg14194983	NPPA	NPPA
cg14198172	HBXIP	LAMTOR5
cg14198172	HBXIP	LAMTOR5-AS1
cg14249872	KCNK1	KCNK1
cg14254380	WDR63	WDR63
cg14256814	POGK	POGK
cg14261309	C1orf163	COA7
cg14269514	MRPL9	MRPL9
cg14269514	MRPL9	OAZ3
cg14269514	MRPL9	RP11-98D18.3
cg14277848	GPATCH4	GPATCH4
cg14313310	GLT25D2	COLGALT2
cg14324200	SAMD11	SAMD11
cg14333454	SFN	SFN
cg14367344	PRKAB2	PRKAB2
cg14367344	PRKAB2	RP11-337C18.10
cg14367344	PRKAB2	RP11-337C18.8
cg14407437	FABP3	FABP3
cg14407667	EPS15	EPS15
cg14407667	EPS15	RP11-191G24.1
cg14467840	S100A1	RP1-178F15.5
cg14467840	S100A1	S100A1
cg14467840	S100A1	S100A13
cg14500718	TMEM79	SMG5
cg14500718	TMEM79	TMEM79
cg14506552	NPPB	NPPB
cg14514226	TMCC2	TMCC2
cg14514991	OR6N1	OR6N1
cg14545899	FAM46C	AL157902.3
cg14545899	FAM46C	FAM46C
cg14550101	HCN3	CLK2
cg14550101	HCN3	HCN3
cg14560895	KDM5B	KDM5B
cg14566624	GPR153	GPR153
cg14615807	BSND	BSND
cg14696870	FCER1A	FCER1A
cg14732540	BRDT	BRDT
cg14748380	FAM163A	FAM163A
cg14826683	SPRR2D	SPRR2D
cg14830002	OR2B11	OR2B11
cg14856606	C4BPA	C4BPA
cg14860494	GCLM	GCLM
cg14887509	WASF2	WASF2
cg14893161	PM20D1	PM20D1
cg14915165	WDR3	GDAP2
cg14915165	WDR3	WDR3
cg14925024	C1orf35	C1orf35
cg14958889	GPR153	GPR153
cg14963371	GPR3	GPR3
cg14971781	ACBD3	ACBD3
cg14989033	KCNK2	KCNK2
cg14992253	EIF3I	EIF3I
cg14992253	EIF3I	TMEM234
cg15006973	GJA4	GJA4
cg15006973	GJA4	SMIM12
cg15043057	CTPS	CTPS1
cg15050111	GRHL3	GRHL3
cg15050111	GRHL3	RP11-10N16.3
cg15056107	NUP133	NUP133
cg15056107	NUP133	RP4-613A2.1
cg15059851	IVL	IVL
cg15102821	CALML6	CALML6
cg15128849	ANKRD13C	ANKRD13C
cg15128849	ANKRD13C	HHLA3
cg15134583	TP53BP2	TP53BP2
cg15146752	EPHA2	EPHA2
cg15156367	EPHX4	EPHX4
cg15161854	SNHG3-RCC1	RCC1
cg15161854	SNHG3-RCC1	SNHG3
cg15166089	CD164L2	CD164L2
cg15173196	UBE2T	UBE2T
cg15185794	PADI2	PADI2
cg15187606	PDZK1IP1	PDZK1IP1
cg15210596	SCCPDH	SCCPDH
cg15226751	LZIC	LZIC
cg15226751	LZIC	RP11-84A14.4
cg15235185	UCHL5	TROVE2
cg15235185	UCHL5	UCHL5
cg15250507	C1orf106	C1orf106
cg15262928	TIMM17A	TIMM17A
cg15288326	KIF21B	KIF21B
cg15288326	KIF21B	RP11-168O16.1
cg15304928	TMEM9	TMEM9
cg15305343	NSUN4	NSUN4
cg15315630	ZMYM6	RP11-244H3.4
cg15315630	ZMYM6	ZMYM6
cg15368822	TMEM63A	TMEM63A
cg15371509	INTS3	INTS3
cg15415507	EPHA2	EPHA2
cg15415507	EPHA2	RP11-276H7.2
cg15462232	FOXD3	FOXD3
cg15462232	FOXD3	FOXD3-AS1
cg15471815	HIST3H2BB	HIST3H2A
cg15471815	HIST3H2BB	HIST3H2BB
cg15486123	IVL	IVL
cg15513620	ZNF697	ZNF697
cg15514848	FMO1	FMO1
cg15514848	FMO1	RP1-45C12.1
cg15547662	PAFAH2	PAFAH2
cg15589354	URB2	TAF5L
cg15589354	URB2	URB2
cg15598244	ZNF436	Y_RNA
cg15598244	ZNF436	ZNF436
cg15598244	ZNF436	ZNF436-AS1
cg15611923	RBM8A	RBM8A
cg15616400	SLC25A34	RP11-288I21.1
cg15616400	SLC25A34	SLC25A34
cg15644413	C1orf216	C1orf216
cg15644413	C1orf216	CLSPN
cg15662251	PAQR7	PAQR7
cg15691841	ZNF687	ZNF687
cg15700197	OR10J1	OR10J1
cg15700197	OR10J1	RP11-550P17.5
cg15702277	RERE	RERE
cg15718594	BATF3	BATF3
cg15723874	MEF2D	MEF2D
cg15740508	AMPD1	AMPD1
cg15746187	FBXO44	FBXO2
cg15746187	FBXO44	FBXO44
cg15750705	GJB4	GJB4
cg15750705	GJB4	SMIM12
cg15753381	TAF13	TAF13
cg15770654	MIIP	MIIP
cg15770654	MIIP	RP5-1077B9.5
cg15775914	CHML	CHML
cg15775914	CHML	OPN3
cg15781625	UCK2	TMCO1
cg15781625	UCK2	UCK2
cg15789095	SPOCD1	SPOCD1
cg15827295	SCNM1	LYSMD1
cg15827295	SCNM1	SCNM1
cg15840005	C1orf86	C1orf86
cg15883716	ANKRD45	ANKRD45
cg15949277	ZC3H12A	LINC01137
cg15949277	ZC3H12A	ZC3H12A
cg15952725	CELA2A	CELA2A
cg15965055	ILDR2	ILDR2
cg15965055	ILDR2	MAEL
cg15965913	PPPDE1	DESI2
cg15975283	SLC9A11	RP3-436N22.3
cg15975283	SLC9A11	SLC9C2
cg15997411	JAK1	JAK1
cg16019273	EIF2C4	AGO4
cg16028753	PODN	PODN
cg16051685	TRIM63	TRIM63
cg16051954	CABC1	ADCK3
cg16054275	F5	F5
cg16068833	UBXN11	CD52
cg16068833	UBXN11	UBXN11
cg16072030	PPP1R15B	PPP1R15B
cg16072030	PPP1R15B	RP11-739N20.2
cg16080552	TACSTD2	TACSTD2
cg16087263	PLA2G2F	PLA2G2F
cg16097041	LENEP	FLAD1
cg16097041	LENEP	LENEP
cg16101346	PTGS2	PACERR
cg16101346	PTGS2	PTGS2
cg16121444	BLZF1	BLZF1
cg16121444	BLZF1	NME7
cg16139316	S100A9	S100A9
cg16140253	AMPD2	AMPD2
cg16148270	DIRAS3	ARL5AP3
cg16148270	DIRAS3	DIRAS3
cg16148270	DIRAS3	GNG12-AS1
cg16166968	ADAM30	ADAM30
cg16177693	NR0B2	NR0B2
cg16177693	NR0B2	NUDC
cg16228804	PKN2	PKN2
cg16228804	PKN2	PKN2-AS1
cg16280922	C1orf25	SWT1
cg16280922	C1orf25	TRMT1L
cg16299341	OSBPL9	OSBPL9
cg16328007	RIMS3	RIMS3
cg16340268	ITPKB	ITPKB
cg16341373	CDCA8	C1orf109
cg16341373	CDCA8	CDCA8
cg16348358	LCK	LCK
cg16359657	RIMS3	RIMS3
cg16371538	ZC3H12A	LINC01137
cg16371538	ZC3H12A	ZC3H12A
cg16379513	TSSK3	FAM229A
cg16379513	TSSK3	TSSK3
cg16408593	VTCN1	VTCN1
cg16479674	ZNF672	ZNF672
cg16486059	C1orf135	AUNIP
cg16486059	C1orf135	RP1-125I3.2
cg16505687	GPR137B	GPR137B
cg16516400	FAM89A	FAM89A
cg16517394	TNFSF4	TNFSF4
cg16519300	FBLIM1	FBLIM1
cg16529592	RUNX3	RUNX3
cg16540768	TMEM56	TMEM56
cg16540768	TMEM56	TMEM56-RWDD3
cg16553500	COL16A1	COL16A1
cg16608348	PTPN14	PTPN14
cg16608652	B3GALT2	B3GALT2
cg16608652	B3GALT2	CDC73
cg16613192	HECTD3	HECTD3
cg16613192	HECTD3	UROD
cg16616325	TSNAX	RP11-295G20.2
cg16616325	TSNAX	TSNAX
cg16616325	TSNAX	TSNAX-DISC1
cg16639185	LGTN	LGTN
cg16651347	TNN	TNN
cg16663980	MNDA	MNDA
cg16696234	ZNF436	ZNF436
cg16696234	ZNF436	ZNF436-AS1
cg16705481	TRAPPC3	TRAPPC3
cg16713727	SLC25A34	RP11-288I21.1
cg16713727	SLC25A34	SLC25A34
cg16713808	CRNN	CRNN
cg16713808	CRNN	FLG-AS1
cg16728114	ISG20L2	ISG20L2
cg16728114	ISG20L2	RRNAD1
cg16736826	EDN2	EDN2
cg16741710	TP73	TP73
cg16741710	TP73	WRAP73
cg16773028	KCNA2	KCNA2
cg16797831	C1orf194	C1orf194
cg16797831	C1orf194	KIAA1324
cg16853982	ACTN2	ACTN2
cg16855929	EGLN1	EGLN1
cg16858125	ELOVL1	ELOVL1
cg16864895	DTL	DTL
cg16864895	DTL	INTS7
cg16891895	RGS16	RGS16
cg16893614	ALX3	ALX3
cg16893614	ALX3	STRIP1
cg16896205	CD53	CD53
cg16907488	CCDC17	CCDC17
cg16918585	NDUFS5	NDUFS5
cg16962970	RASAL2	RASAL2
cg16962970	RASAL2	RASAL2-AS1
cg16985778	MTMR9L	MTMR9LP
cg16991868	GPATCH3	GPATCH3
cg16991868	GPATCH3	NUDC
cg16993682	CD1C	CD1C
cg17002259	MLLT11	MLLT11
cg17004373	GNL2	GNL2
cg17038116	ASH1L	ASH1L
cg17038116	ASH1L	ASH1L-AS1
cg17078393	LCK	LCK
cg17099397	VAV3	VAV3
cg17099397	VAV3	VAV3-AS1
cg17100200	GUCA2B	GUCA2B
cg17110920	AHDC1	AHDC1
cg17134153	FCRL3	FCRL3
cg17154022	HMGN2	HMGN2
cg17164905	AHDC1	AHDC1
cg17168836	GNG12	GNG12
cg17222434	FRRS1	FRRS1
cg17236617	ACOT7	ACOT7
cg17236617	ACOT7	RP1-202O8.3
cg17237813	TTLL7	TTLL7
cg17239103	CCDC19	CFAP45
cg17239103	CCDC19	MIR4259
cg17241013	NEK2	NEK2
cg17241013	NEK2	RP11-122M14.1
cg17241310	BARHL2	BARHL2
cg17285883	ARHGEF10L	ARHGEF10L
cg17286491	CEP350	CEP350
cg17286491	CEP350	RP11-533E19.5
cg17385448	AGMAT	AGMAT
cg17385448	AGMAT	DNAJC16
cg17398283	CCDC76	SASS6
cg17398283	CCDC76	TRMT13
cg17496887	S100A7A	S100A7A
cg17502536	PADI1	PADI1
cg17515347	AIM2	AIM2
cg17539235	KISS1	KISS1
cg17572572	GPN2	GPN2
cg17582777	EFNA3	EFNA3
cg17582777	EFNA3	RP11-540D14.8
cg17593391	RRAGC	RP5-864K19.4
cg17593391	RRAGC	RP5-864K19.7
cg17593391	RRAGC	RRAGC
cg17653969	SPHAR	RAB4A
cg17653969	SPHAR	SPHAR
cg17661881	PARP1	PARP1
cg17696091	SYCP1	SYCP1
cg17703324	OPTC	OPTC
cg17710021	G0S2	G0S2
cg17710021	G0S2	RP1-28O10.1
cg17720233	TNFAIP8L2	SCNM1
cg17720233	TNFAIP8L2	TNFAIP8L2
cg17727529	C1orf61	C1orf61
cg17733100	C1orf106	C1orf106
cg17755386	SNORD38A	RP11-269F19.2
cg17755386	SNORD38A	RPS8
cg17755386	SNORD38A	SNORD38A
cg17755386	SNORD38A	SNORD46
cg17791651	POU3F1	POU3F1
cg17791651	POU3F1	RP5-884C9.2
cg17801256	ZMYM4	ZMYM4
cg17803430	C4BPA	C4BPA
cg17803965	SPOCD1	SPOCD1
cg17819635	TCTEX1D1	TCTEX1D1
cg17833106	PVRL4	PVRL4
cg17848797	LOC100128842	UBE2J2
cg17860158	CNTN2	CNTN2
cg17870792	LPHN2	LPHN2
cg17901584	DHCR24	DHCR24
cg17901584	DHCR24	RP11-67L3.4
cg17921310	UBQLN4	LAMTOR2
cg17921310	UBQLN4	UBQLN4
cg17938146	ITGA10	ITGA10
cg17938146	ITGA10	PEX11B
cg17948627	PSMB2	PSMB2
cg17950169	TMEM63A	TMEM63A
cg17954152	PROX1	PROX1
cg17954152	PROX1	PROX1-AS1
cg17954152	PROX1	RP11-478J18.2
cg17969298	ANGEL2	ANGEL2
cg17971328	SEMA4A	SEMA4A
cg17971578	STK40	STK40
cg17980508	IFI44L	IFI44L
cg17992056	ICMT	ICMT
cg17992056	ICMT	LINC00337
cg18014844	PARS2	PARS2
cg18025409	TNFRSF9	RP5-892F13.2
cg18025409	TNFRSF9	TNFRSF9
cg18058949	NUP133	NUP133
cg18058949	NUP133	RP4-613A2.1
cg18060199	BCAR3	BCAR3
cg18081104	THEM5	THEM5
cg18084114	MATN1	MATN1
cg18084114	MATN1	MATN1-AS1
cg18087266	RUNX3	RUNX3
cg18087477	SYCP1	SYCP1
cg18105315	MANEAL	MANEAL
cg18117393	NPL	NPL
cg18142162	ERMAP	CCDC23
cg18142162	ERMAP	ERMAP
cg18147543	ZBTB17	ZBTB17
cg18149207	RORC	RORC
cg18150280	RGS2	RGS2
cg18150584	ID3	ID3
cg18177682	PEA15	PEA15
cg18177682	PEA15	RP11-536C5.7
cg18201671	TLR5	RP11-239E10.2
cg18201671	TLR5	TLR5
cg18212039	EXTL1	EXTL1
cg18220284	URB2	TAF5L
cg18220284	URB2	URB2
cg18224761	MRTO4	EMC1
cg18224761	MRTO4	MRTO4
cg18263686	GPATCH2	GPATCH2
cg18263686	GPATCH2	SPATA17
cg18266783	MEF2D	MEF2D
cg18274788	MIR320B1	MIR320B1
cg18275051	CYB5R1	CYB5R1
cg18278694	CEP350	CEP350
cg18333690	PADI4	PADI4
cg18354264	MIXL1	MIXL1
cg18388972	C1orf182	CCT3
cg18388972	C1orf182	TSACC
cg18389062	MAN1A2	MAN1A2
cg18389062	MAN1A2	RP11-188D8.1
cg18434152	PROK1	PROK1
cg18504532	RABGAP1L	RABGAP1L
cg18504532	RABGAP1L	RP11-160H22.5
cg18528640	MSTO1	MSTO1
cg18528640	MSTO1	RP11-29H23.4
cg18611847	RGS16	RGS16
cg18635645	SYDE2	SYDE2
cg18660898	MLLT11	CDC42SE1
cg18660898	MLLT11	MLLT11
cg18666238	FUBP1	DNAJB4
cg18666238	FUBP1	FUBP1
cg18666238	FUBP1	GIPC2
cg18669381	ARHGEF19	ARHGEF19
cg18783781	SLC25A33	SLC25A33
cg18792584	TOR1AIP1	RP11-533E19.7
cg18792584	TOR1AIP1	TOR1AIP1
cg18795395	GNG12	GNG12
cg18795395	GNG12	GNG12-AS1
cg18803079	DLEU2L	DLEU2L
cg18803079	DLEU2L	EFCAB7
cg18803079	DLEU2L	ITGB3BP
cg18839416	C1orf158	C1orf158
cg18854765	LRRIQ3	FPGT
cg18854765	LRRIQ3	FPGT-TNNI3K
cg18854765	LRRIQ3	LRRIQ3
cg18881723	SLAMF1	SLAMF1
cg18891404	ZC3H12A	LINC01137
cg18891404	ZC3H12A	ZC3H12A
cg18894878	MAEL	MAEL
cg18908499	C1orf150	GCSAML
cg18931421	MRTO4	EMC1
cg18931421	MRTO4	MRTO4
cg18937321	SLC6A9	RP5-1198O20.4
cg18937321	SLC6A9	SLC6A9
cg18942631	CASQ2	CASQ2
cg18944010	TBX15	TBX15
cg18947521	H3F3A	H3F3A
cg18947521	H3F3A	RP11-396C23.4
cg18959422	MYBPH	MYBPH
cg18973101	TMEM79	SMG5
cg18973101	TMEM79	TMEM79
cg18979762	EGLN1	EGLN1
cg18983672	FOXE3	FOXE3
cg18992688	AVPR1B	AVPR1B
cg18992688	AVPR1B	RP11-38J22.3
cg18993334	C1orf182	CCT3
cg18993334	C1orf182	TSACC
cg19019972	CYB5RL	CYB5RL
cg19019972	CYB5RL	MRPL37
cg19019972	CYB5RL	RP11-446E24.4
cg19038540	S1PR1	RP4-575N6.4
cg19038540	S1PR1	S1PR1
cg19044674	C1orf50	C1orf50
cg19044674	C1orf50	P3H1
cg19114595	DIRAS3	ARL5AP3
cg19114595	DIRAS3	DIRAS3
cg19114595	DIRAS3	GNG12-AS1
cg19125606	AGT	AGT
cg19125606	AGT	RP11-99J16__A.2
cg19125999	C1orf172	KDF1
cg19130550	OLFML2B	OLFML2B
cg19136075	NBL1	MINOS1-NBL1
cg19136075	NBL1	NBL1
cg19148051	LRRC47	LRRC47
cg19157971	RABIF	RABIF
cg19175383	SNAP47	JMJD4
cg19175383	SNAP47	SNAP47
cg19180828	RNF207	RNF207
cg19180828	RNF207	RP1-120G22.11
cg19180828	RNF207	RPL22
cg19228118	C1orf94	C1orf94
cg19228118	C1orf94	CSMD2
cg19269426	GGPS1	GGPS1
cg19276110	PLA2G5	PLA2G5
cg19312427	NEK7	NEK7
cg19342782	ANKRD13C	ANKRD13C
cg19342782	ANKRD13C	HHLA3
cg19350340	ASPM	ASPM
cg19370451	CRNN	CRNN
cg19370451	CRNN	FLG-AS1
cg19399532	C1orf220	C1orf220
cg19399532	C1orf220	TEX35
cg19406367	SGIP1	SGIP1
cg19451466	UHMK1	UHMK1
cg19490266	JTB	JTB
cg19490266	JTB	RP11-422P24.11
cg19514928	TMEM56	TMEM56
cg19514928	TMEM56	TMEM56-RWDD3
cg19521927	PLA2G5	PLA2G5
cg19524049	KIAA0319L	KIAA0319L
cg19524049	KIAA0319L	NCDN
cg19532954	ID3	ID3
cg19560758	ERRFI1	ERRFI1
cg19560758	ERRFI1	RP11-431K24.1
cg19572947	DHX9	DHX9
cg19580810	RAB25	RAB25
cg19595244	AHCYL1	AHCYL1
cg19676312	RNPEP	RNPEP
cg19685066	ACTL8	ACTL8
cg19703628	PSMB4	PSMB4
cg19708554	FAM78B	FAM78B
cg19712659	SNORD99	SNHG12
cg19712659	SNORD99	SNORA61
cg19712659	SNORD99	SNORD99
cg19744131	PRUNE	FAM63A
cg19744131	PRUNE	PRUNE
cg19744908	LPHN2	LPHN2
cg19763281	NKAIN1	NKAIN1
cg19764418	RYR2	RYR2
cg19766489	GIPC2	GIPC2
cg19784449	WASF2	WASF2
cg19797376	TAL1	RP1-18D14.7
cg19797376	TAL1	TAL1
cg19805160	CCDC19	CCDC19
cg19840532	OMA1	DAB1
cg19840532	OMA1	OMA1
cg19865770	LOC400804	C1orf140
cg19869139	OPRD1	OPRD1
cg19869443	SAMD13	SAMD13
cg19884658	KLHL21	KLHL21
cg19894943	KTI12	KTI12
cg19894943	KTI12	RP11-91A18.4
cg19894943	KTI12	TXNDC12
cg19896198	TNFRSF8	TNFRSF8
cg19903333	ATP6V0B	ATP6V0B
cg19907725	S100A2	S100A2
cg19918758	VAV3	VAV3
cg19918758	VAV3	VAV3-AS1
cg19921776	EDEM3	EDEM3
cg19976467	TMCO4	TMCO4
cg20022511	ISG15	ISG15
cg20022511	ISG15	RP11-54O7.11
cg20025656	ACTA1	ACTA1
cg20059151	SLC44A3	LINC01057
cg20059151	SLC44A3	SLC44A3
cg20066612	KCNJ9	KCNJ9
cg20070090	S100A8	S100A8
cg20077393	CGN	CGN
cg20097268	HBXIP	LAMTOR5
cg20097268	HBXIP	LAMTOR5-AS1
cg20166532	S1PR1	RP4-575N6.4
cg20166532	S1PR1	S1PR1
cg20172280	OLFML2B	OLFML2B
cg20202438	NPPA	NPPA
cg20202438	NPPA	NPPA-AS1
cg20240091	TNN	TNN
cg20253872	AMPD2	AMPD2
cg20256009	S100A8	S100A8
cg20266715	CAPN2	CAPN2
cg20284239	GPR161	GPR161
cg20315136	RGS2	RGS2
cg20316440	RERE	RERE
cg20316614	TMEM63A	TMEM63A
cg20317872	DENND2D	CHI3L2
cg20317872	DENND2D	DENND2D
cg20342082	PRSS38	PRSS38
cg20345978	HMGN2	HMGN2
cg20375554	ARHGEF2	ARHGEF2
cg20375554	ARHGEF2	RP11-336K24.12
cg20404387	FAM43B	FAM43B
cg20433858	OR2L13	CLK3P2
cg20433858	OR2L13	OR2L13
cg20433858	OR2L13	OR2X1P
cg20437604	ANXA9	ANXA9
cg20507276	OR2L13	CLK3P2
cg20507276	OR2L13	OR2L13
cg20530056	IKBKE	IKBKE
cg20538819	PTPN14	PTPN14
cg20591472	SYPL2	SYPL2
cg20609803	FCER1G	FCER1G
cg20615951	TFB2M	CNST
cg20615951	TFB2M	TFB2M
cg20618842	OLFML3	OLFML3
cg20645065	ALPL	ALPL
cg20648108	CTTNBP2NL	CTTNBP2NL
cg20651453	MAP3K6	MAP3K6
cg20661303	LEFTY2	LEFTY2
cg20676475	LCE3D	LCE3C
cg20676475	LCE3D	LCE3D
cg20678800	NGF	NGF
cg20695936	RUNX3	RUNX3
cg20700731	EDN2	EDN2
cg20713492	AQP10	AQP10
cg20739510	PEX14	PEX14
cg20755353	SSU72	RP5-832C2.5
cg20755353	SSU72	SSU72
cg20777437	CDCP2	CDCP2
cg20777437	CDCP2	RP11-446E24.4
cg20778958	OR6P1	OR6P1
cg20793071	TMEM59	TCEANC2
cg20793071	TMEM59	TMEM59
cg20802392	CTSK	CTSK
cg20817941	CTSK	CTSK
cg20847746	S100A1	RP1-178F15.5
cg20847746	S100A1	S100A1
cg20847746	S100A1	S100A13
cg20848130	GJC2	GJC2
cg20867633	GOLT1A	GOLT1A
cg20887241	HTR1D	HTR1D
cg20951444	FNDC5	FNDC5
cg20953047	PIGR	PIGR
cg20975478	CCDC24	CCDC24
cg20975478	CCDC24	SLC6A9
cg20977411	PMVK	PMVK
cg20977411	PMVK	RP11-307C12.13
cg20994801	PIK3CD	PIK3CD
cg21047206	PDE4DIP	PDE4DIP
cg21052164	CHRNB2	CHRNB2
cg21057046	NBL1	MINOS1-NBL1
cg21057046	NBL1	NBL1
cg21076470	MRPS14	MRPS14
cg21076470	MRPS14	Y_RNA
cg21093060	TXLNA	TXLNA
cg21099221	SRM	SRM
cg21117584	SNIP1	SNIP1
cg21137823	PRKCZ	PRKCZ
cg21137823	PRKCZ	RP11-547D24.3
cg21142398	GLIS1	GLIS1
cg21182322	POU2F1	POU2F1
cg21182322	POU2F1	RP11-277B15.3
cg21183846	FMO4	FMO4
cg21195376	PIK3C2B	PIK3C2B
cg21196487	S100A2	S100A2
cg21198021	PHC2	PHC2
cg21211748	E2F2	E2F2
cg21223353	ANGPTL7	ANGPTL7
cg21223353	ANGPTL7	MTOR
cg21248774	SFPQ	SFPQ
cg21261477	CABC1	ADCK3
cg21279955	SLC27A3	AL513523.2
cg21279955	SLC27A3	SLC27A3
cg21284779	RXFP4	RXFP4
cg21291672	TMEM200B	TMEM200B
cg21303386	RGS7	RGS7
cg21312148	LCE2D	LCE2D
cg21332946	LIX1L	CH17-270A2.2
cg21332946	LIX1L	LIX1L
cg21332946	LIX1L	RP11-315I20.1
cg21367040	TMEM50A	RP11-335G20.7
cg21367040	TMEM50A	RSRP1
cg21367040	TMEM50A	TMEM50A
