"gene_id","gene_name","length"
"ENSG00000163939.14","PBRM1",9654
"ENSG00000163938.12","GNL3",3318
"ENSG00000016864.12","GLT8D1",3783
"ENSG00000114902.9","SPCS1",2344
"ENSG00000114904.8","NEK4",4056
"ENSG00000055957.6","ITIH1",4543
"ENSG00000162267.8","ITIH3",5921
"ENSG00000055955.11","ITIH4",5462
"ENSG00000243696.4","RP5-966M1.6",6315
"ENSG00000272573.1","MUSTN1",902
"ENSG00000248592.3","TMEM110-MUSTN1",6271
"ENSG00000213533.7","TMEM110",5730
"ENSG00000163935.9","SFMBT1",5676
"ENSG00000272305.1","RP11-894J14.5",1760
"ENSG00000163933.5","RFT1",5488
"ENSG00000163932.9","PRKCD",3396
"ENSG00000163931.11","TKT",9507
"ENSG00000162290.12","DCP1A",6154
"ENSG00000157388.9","CACNA1D",11218
"ENSG00000016391.6","CHDH",7758
"ENSG00000056736.5","IL17RB",3038
"ENSG00000113812.9","ACTR8",4066
"ENSG00000113811.6","SELK",2165
"ENSG00000157445.10","CACNA2D3",4670
"ENSG00000144771.7","LRTM1",1584
"ENSG00000114251.9","WNT5A",6660
"ENSG00000187672.8","ERC2",7933
"ENSG00000180376.12","CCDC66",9278
"ENSG00000163946.9","FAM208A",9824
"ENSG00000163947.7","ARHGEF3",6594
"ENSG00000186451.1","SPATA12",2413
"ENSG00000144730.12","IL17RD",9576
"ENSG00000163666.4","HESX1",1175
"ENSG00000157500.6","APPL1",7033
"ENSG00000239388.4","ASB14",3232
"ENSG00000174844.10","DNAH12",10701
"ENSG00000174840.8","PDE12",8947
"ENSG00000168374.6","ARF4",2595
"ENSG00000174839.8","DENND6A",5124
"ENSG00000163681.10","SLMAP",14147
"ENSG00000136068.10","FLNB",13956
"ENSG00000163687.9","DNASE1L3",3148
"ENSG00000163686.9","ABHD6",3589
"ENSG00000163684.7","RPP14",8608
"ENSG00000255154.3","RPP14",507
"ENSG00000168297.11","PXK",5249
"ENSG00000168291.8","PDHB",4717
"ENSG00000168301.8","KCTD6",3068
"ENSG00000168306.8","ACOX2",3859
"ENSG00000168309.12","FAM107A",5321
"ENSG00000198643.2","FAM3D",1640
"ENSG00000163689.14","C3orf67",9455
"ENSG00000189283.5","FHIT",5439
"ENSG00000269415.1","NPCDR1",321
"ENSG00000144724.14","PTPRG",14629
"ENSG00000114405.6","C3orf14",4430
"ENSG00000153266.8","FEZF2",2193
"ENSG00000163618.13","CADPS",14622
"ENSG00000163630.6","SYNPR",4224
"ENSG00000188817.3","SNTN",4651
"ENSG00000163632.8","C3orf49",1554
"ENSG00000163634.7","THOC7",1784
"ENSG00000163635.13","ATXN7",9172
"ENSG00000163636.6","PSMD6",9095
"ENSG00000163637.7","PRICKLE2",8726
"ENSG00000163638.9","ADAMTS9",10693
"ENSG00000151276.19","MAGI1",11647
"ENSG00000144741.13","SLC25A26",5850
"ENSG00000144749.9","LRIG1",7032
"ENSG00000163376.7","KBTBD8",4740
"ENSG00000172340.10","SUCLG2",3090
"ENSG00000183662.6","FAM19A1",2915
"ENSG00000163377.10","FAM19A4",2292
"ENSG00000163378.9","EOGT",5647
"ENSG00000144747.10","TMF1",7038
"ENSG00000144744.12","UBA3",4001
"ENSG00000144746.6","ARL6IP5",2522
"ENSG00000163380.11","LMOD3",4276
"ENSG00000114541.10","FRMD4B",10016
"ENSG00000187098.10","MITF",7222
"ENSG00000114861.14","FOXP1",13359
"ENSG00000163412.8","EIF4E3",10779
"ENSG00000170837.2","GPR27",2447
"ENSG00000163421.4","PROK2",1612
"ENSG00000163602.9","RYBP",7512
"ENSG00000144736.9","SHQ1",5841
"ENSG00000172986.8","GXYLT2",3667
"ENSG00000163605.10","PPP4R2",5964
"ENSG00000255423.1","EBLN2",1679
"ENSG00000121440.10","PDZRN3",6136
"ENSG00000113805.8","CNTN3",5109
"ENSG00000172969.3","FRG2C",2078
"ENSG00000227124.4","ZNF717",6917
"ENSG00000185008.13","ROBO2",16659
"ENSG00000169855.15","ROBO1",10862
"ENSG00000114480.8","GBE1",5171
"ENSG00000175161.9","CADM2",9990
"ENSG00000206538.3","VGLL3",11574
"ENSG00000083937.4","CHMP2B",3106
"ENSG00000064835.6","POU1F1",1569
"ENSG00000179097.4","HTR1F",3074
"ENSG00000163320.6","CGGBP1",6490
"ENSG00000229729.3","RP11-159G9.5",1646
"ENSG00000175105.5","ZNF654",4966
"ENSG00000179021.5","C3orf38",3478
"ENSG00000044524.6","EPHA3",6674
"ENSG00000184500.10","PROS1",4425
"ENSG00000169379.11","ARL13B",4160
"ENSG00000178750.2","STX19",1158
"ENSG00000178700.3","DHFRL1",4659
"ENSG00000178694.5","NSUN3",5635
"ENSG00000269028.2","MTRNR2L12",1020
"ENSG00000080224.13","EPHA6",6303
"ENSG00000113966.5","ARL6",2261
"ENSG00000233280.2","CRYBG3",4261
"ENSG00000080200.5","CRYBG3",5003
"ENSG00000170854.13","MINA",6880
"ENSG00000196578.4","OR5AC2",930
"ENSG00000231192.1","OR5H1",942
"ENSG00000236032.2","OR5H14",1080
"ENSG00000233412.2","OR5H15",942
"ENSG00000230301.3","OR5H6",1113
"ENSG00000197938.4","OR5H2",945
"ENSG00000196098.2","OR5K4",966
"ENSG00000206536.1","OR5K3",966
"ENSG00000232382.1","OR5K1",1097
"ENSG00000231861.1","OR5K2",1049
"ENSG00000080822.12","CLDND1",5217
"ENSG00000080819.2","CPOX",3666
"ENSG00000154165.3","GPR15",1218
"ENSG00000064225.8","ST3GAL6",6288
"ENSG00000057019.11","DCBLD2",11274
"ENSG00000144810.11","COL8A1",9408
"ENSG00000184220.6","CMSS1",4081
"ENSG00000168386.14","FILIP1L",5897
"ENSG00000235156.3","TMEM30C",805
"ENSG00000036054.8","TBC1D23",5168
"ENSG00000114021.7","NIT2",4495
"ENSG00000154174.7","TOMM70A",5387
"ENSG00000206535.3","LNP1",2249
"ENSG00000181458.6","TMEM45A",6005
"ENSG00000144820.3","GPR128",4091
"ENSG00000114354.8","TFG",4923
"ENSG00000154175.12","ABI3BP",10978
"ENSG00000081148.11","IMPG2",8337
"ENSG00000138468.11","SENP7",6396
"ENSG00000174173.6","TRMT10C",1888
"ENSG00000081154.7","PCNP",3102
"ENSG00000066422.4","ZBTB11",7416
"ENSG00000114391.8","RPL24",2682
"ENSG00000182504.6","CEP97",9550
"ENSG00000144815.10","NXPE3",9474
"ENSG00000144802.7","NFKBIZ",5902
"ENSG00000170044.4","ZPLD1",5130
"ENSG00000170017.8","ALCAM",7179
"ENSG00000114423.14","CBLB",12148
"ENSG00000138483.1","CCDC54",1294
"ENSG00000114439.14","BBX",11877
"ENSG00000196776.10","CD47",7895
"ENSG00000114446.4","IFT57",3766
"ENSG00000114455.9","HHLA2",3588
"ENSG00000144821.5","MYH15",7694
"ENSG00000163507.9","KIAA1524",4574
"ENSG00000198919.8","DZIP3",6972
"ENSG00000163515.6","RETNLB",1106
"ENSG00000163519.9","TRAT1",2528
"ENSG00000138472.6","GUCA1C",1180
"ENSG00000114487.5","MORC1",3764
"ENSG00000163530.4","DPPA2",1383
"ENSG00000121570.8","DPPA4",4996
"ENSG00000206532.2","RP11-553A10.1",1363
"ENSG00000177707.6","PVRL3",6184
"ENSG00000153283.8","CD96",5762
"ENSG00000177494.5","ZBED2",2311
"ENSG00000240891.2","PLCXD2",2927
"ENSG00000144824.15","PHLDB2",12109
"ENSG00000144827.4","ABHD10",3021
"ENSG00000144834.8","TAGLN3",1791
"ENSG00000176040.9","TMPRSS7",3050
"ENSG00000114529.8","C3orf52",6021
"ENSG00000174500.8","GCSAM",3783
"ENSG00000172139.10","SLC9C1",4250
"ENSG00000091972.14","CD200",2991
"ENSG00000186265.5","BTLA",3697
"ENSG00000144848.6","ATG3",6111
"ENSG00000138459.4","SLC35A5",4853
"ENSG00000091986.11","CCDC80",5305
"ENSG00000206531.6","CD200R1L",1695
"ENSG00000163606.6","CD200R1",3905
"ENSG00000163607.10","GTPBP8",3752
"ENSG00000163608.10","C3orf17",6494
"ENSG00000144857.10","BOC",10327
"ENSG00000206530.4","WDR52",12160
"ENSG00000163611.7","SPICE1",7941
"ENSG00000072858.6","SIDT1",8072
"ENSG00000176542.5","KIAA2018",13738
"ENSG00000121579.8","NAA50",6431
"ENSG00000114573.5","ATP6V1A",5130
"ENSG00000178075.15","GRAMD1C",7818
"ENSG00000184307.9","ZDHHC23",7138
"ENSG00000163617.6","KIAA1407",5303
"ENSG00000151576.6","QTRTD1",8054
"ENSG00000151577.8","DRD3",2101
"ENSG00000174255.5","ZNF80",2943
"ENSG00000181847.7","TIGIT",6091
"ENSG00000181722.11","ZBTB20",8279
"ENSG00000172020.8","GAP43",2087
"ENSG00000185565.7","LSAMP",10367
"ENSG00000144847.8","IGSF11",4883
"ENSG00000163424.4","C3orf30",1964
"ENSG00000251012.1","RP11-484M3.5",246
"ENSG00000114638.3","UPK1B",2266
"ENSG00000121578.8","B4GALT4",7145
"ENSG00000031081.6","ARHGAP31",9384
"ENSG00000176142.8","TMEM39A",5333
"ENSG00000163389.6","POGLUT1",7097
"ENSG00000113845.5","TIMMDC1",2730
"ENSG00000121594.7","CD80",3201
"ENSG00000144843.7","ADPRH",4615
"ENSG00000144837.4","PLA1A",2202
"ENSG00000121577.9","POPDC2",2445
"ENSG00000138495.2","COX17",2172
"ENSG00000183833.12","MAATS1",7106
"ENSG00000144852.12","NR1I2",5381
"ENSG00000082701.10","GSK3B",8006
"ENSG00000175697.6","GPR156",6058
"ENSG00000163428.3","LRRC58",7903
"ENSG00000163430.5","FSTL1",8727
"ENSG00000065518.7","NDUFB4",1889
"ENSG00000113924.7","HGD",2983
"ENSG00000144840.4","RABL3",4684
"ENSG00000153767.5","GTF2E1",3370
"ENSG00000145087.8","STXBP5L",11085
"ENSG00000051341.9","POLQ",9099
"ENSG00000186103.3","ARGFX",992
"ENSG00000163833.6","FBXO40",5926
"ENSG00000180353.6","HCLS1",5093
"ENSG00000173230.11","GOLGB1",11853
"ENSG00000173226.12","IQCB1",3049
"ENSG00000145088.4","EAF2",1770
"ENSG00000163406.6","SLC15A2",6210
"ENSG00000145103.8","ILDR1",2953
"ENSG00000114013.11","CD86",3430
"ENSG00000036828.9","CASR",5390
"ENSG00000121552.3","CSTA",1373
"ENSG00000160124.5","CCDC58",1746
"ENSG00000114023.11","FAM162A",3793
"ENSG00000196981.2","WDR5B",4168
"ENSG00000114030.8","KPNA1",8451
"ENSG00000138496.12","PARP9",8938
"ENSG00000163840.5","DTX3L",5868
"ENSG00000173200.8","PARP15",5507
"ENSG00000173193.9","PARP14",10495
"ENSG00000169087.6","HSPBAP1",5438
"ENSG00000138463.8","DIRC2",3596
"ENSG00000082684.10","SEMA5B",6223
"ENSG00000065485.13","PDIA5",4030
"ENSG00000121542.7","SEC22A",4698
"ENSG00000173175.10","ADCY5",8873
"ENSG00000206527.5","PTPLB",5351
"ENSG00000065534.14","MYLK",22166
"ENSG00000175455.10","CCDC14",11732
"ENSG00000065371.13","ROPN1",4395
"ENSG00000160145.11","KALRN",24490
"ENSG00000114491.9","UMPS",3499
"ENSG00000082781.7","ITGB5",6447
"ENSG00000173702.3","MUC13",3496
"ENSG00000173706.8","HEG1",9925
"ENSG00000221955.6","SLC12A8",5728
"ENSG00000163848.14","ZNF148",10574
"ENSG00000114520.6","SNX4",2702
"ENSG00000144909.7","OSBPL11",4191
"ENSG00000189366.5","ALG1L",805
"ENSG00000114547.5","ROPN1B",4048
"ENSG00000114544.11","SLC41A3",6592
"ENSG00000144908.9","ALDH1L1",13705
"ENSG00000163884.3","KLF15",2848
"ENSG00000163885.7","CCDC37",3352
"ENSG00000070476.10","ZXDC",7357
"ENSG00000159650.4","UROC1",3329
"ENSG00000180767.5","CHST13",1789
"ENSG00000180697.4","C3orf22",2187
"ENSG00000197763.8","TXNRD3",3809
"ENSG00000206483.4","TXNRD3NB",1131
"ENSG00000159685.6","CHCHD6",2763
"ENSG00000114554.7","PLXNA1",10944
"ENSG00000214324.1","C3orf56",1737
"ENSG00000163870.10","TPRA1",3596
"ENSG00000073111.9","MCM2",4899
"ENSG00000114631.10","PODXL2",2186
"ENSG00000114626.13","ABTB1",6154
"ENSG00000074416.9","MGLL",10056
"ENSG00000187715.9","KBTBD12",5818
"ENSG00000058262.5","SEC61A1",4697
"ENSG00000175792.7","RUVBL1",6860
"ENSG00000132394.6","EEFSEC",2417
"ENSG00000179407.3","DNAJB8",3645
"ENSG00000179348.7","GATA2",4459
"ENSG00000198685.2","C3orf27",2697
"ENSG00000163902.7","RPN1",3988
"ENSG00000075785.8","RAB7A",2717
"ENSG00000177646.13","ACAD9",4327
"ENSG00000114656.6","KIAA1257",7811
"ENSG00000187695.6","RP11-723O4.6",2426
"ENSG00000114654.6","EFCC1",2945
"ENSG00000169704.4","GP9",889
"ENSG00000172780.12","RAB43",4991
"ENSG00000261796.1","ISY1-RAB43",4868
"ENSG00000240682.5","ISY1",4102
"ENSG00000169714.12","CNBP",1927
"ENSG00000181789.10","COPG1",4423
"ENSG00000183624.9","HMCES",2783
"ENSG00000184897.4","H1FX",1506
"ENSG00000172771.7","EFCAB12",7789
"ENSG00000129071.5","MBD4",3212
"ENSG00000163913.7","IFT122",9395
"ENSG00000163914.4","RHO",2592
"ENSG00000178804.3","H1FOO",1264
"ENSG00000004399.8","PLXND1",9738
"ENSG00000172765.12","TMCC1",7912
"ENSG00000170893.3","TRH",1978
"ENSG00000172752.10","COL6A5",9591
"ENSG00000206384.6","COL6A6",9733
"ENSG00000196455.3","PIK3R4",5376
"ENSG00000017260.15","ATP2C1",8533
"ENSG00000034533.7","ASTE1",3427
"ENSG00000114670.9","NEK11",5340
"ENSG00000198585.7","NUDT16",7038
"ENSG00000114686.4","MRPL3",2715
"ENSG00000196353.7","CPNE4",6342
"ENSG00000014257.11","ACPP",4193
"ENSG00000138246.11","DNAJC13",9562
"ENSG00000240303.3","ACAD11",5675
"ENSG00000113971.14","NPHP3",13270
"ENSG00000129048.6","ACKR4",2273
"ENSG00000081307.8","UBA5",6827
"ENSG00000144868.9","TMEM108",8425
"ENSG00000170819.4","BFSP2",2070
"ENSG00000091527.11","CDV3",4367
"ENSG00000163781.8","TOPBP1",6515
"ENSG00000091513.10","TF",8565
"ENSG00000144867.7","SRPRB",4180
"ENSG00000154917.6","RAB6B",6005
"ENSG00000221972.2","C3orf36",1665
"ENSG00000174640.8","SLCO2A1",5283
"ENSG00000163785.8","RYK",7992
"ENSG00000114019.10","AMOTL2",5984
"ENSG00000129055.8","ANAPC13",2359
"ENSG00000182923.12","CEP63",10114
"ENSG00000154928.12","EPHB1",6956
"ENSG00000174611.7","KY",5786
"ENSG00000073711.6","PPP2R3A",7839
"ENSG00000174579.3","MSL2",5095
"ENSG00000114054.9","PCCB",7532
"ENSG00000118007.8","STAG1",7819
"ENSG00000168917.8","SLC35G2",4287
"ENSG00000158092.2","NCK1",3727
"ENSG00000174564.8","IL20RB",2473
"ENSG00000168875.1","SOX14",818
"ENSG00000066405.8","CLDN18",3877
"ENSG00000158163.10","DZIP1L",5045
"ENSG00000118017.3","A4GNT",1771
"ENSG00000138231.8","DBR1",3160
"ENSG00000114098.13","ARMC8",9829
"ENSG00000181322.9","NME9",3738
"ENSG00000158186.8","MRAS",6315
"ENSG00000158220.9","ESYT3",9816
"ENSG00000114107.4","CEP70",4421
"ENSG00000158234.8","FAIM",4072
"ENSG00000051382.4","PIK3CB",6531
"ENSG00000183770.5","FOXL2",2917
"ENSG00000206262.4","C3orf72",4567
"ENSG00000206260.2","PRR23A",2307
"ENSG00000175110.7","MRPS22",5382
"ENSG00000184814.5","PRR23B",1896
"ENSG00000233701.2","PRR23C",2791
"ENSG00000184432.5","COPB2",8177
"ENSG00000114113.2","RBP2",845
"ENSG00000114115.5","RBP1",3905
"ENSG00000163864.10","NMNAT3",3451
"ENSG00000158258.11","CLSTN2",14596
"ENSG00000155890.3","TRIM42",2539
"ENSG00000114120.7","SLC25A36",9229
"ENSG00000175093.4","SPSB4",3740
"ENSG00000155893.7","ACPL2",7052
"ENSG00000177311.6","ZBTB38",13706
"ENSG00000155903.7","RASA2",5981
"ENSG00000114125.9","RNF7",3147
"ENSG00000114124.2","GRK7",3239
"ENSG00000069849.6","ATP1B3",2584
"ENSG00000114126.13","TFDP2",11895
"ENSG00000175066.11","GK5",6027
"ENSG00000114127.6","XRN1",11982
"ENSG00000175054.10","ATR",12496
"ENSG00000120756.8","PLS1",5294
"ENSG00000144935.10","TRPC1",4768
"ENSG00000163710.3","PCOLCE2",3480
"ENSG00000188582.4","PAQR9",3820
"ENSG00000163714.13","U2SURP",11297
"ENSG00000175040.4","CHST2",3526
"ENSG00000181804.10","SLC9A9",4087
"ENSG00000181744.4","C3orf58",5487
"ENSG00000232013.1","AC107021.1",1799
"ENSG00000152952.7","PLOD2",7646
"ENSG00000114698.10","PLSCR4",4227
"ENSG00000163746.7","PLSCR2",2544
"ENSG00000188313.8","PLSCR1",4340
"ENSG00000231213.2","PLSCR5",2140
"ENSG00000174963.13","ZIC4",8568
"ENSG00000152977.5","ZIC1",6806
"ENSG00000144891.13","AGTR1",3478
"ENSG00000153002.7","CPB1",5703
"ENSG00000163751.3","CPA3",1848
"ENSG00000163754.13","GYG1",3475
"ENSG00000071794.11","HLTF",6024
"ENSG00000163755.4","HPS3",6256
"ENSG00000047457.9","CP",7296
"ENSG00000163762.2","TM4SF18",4482
"ENSG00000169908.6","TM4SF1",3668
"ENSG00000169903.6","TM4SF4",2140
"ENSG00000018408.10","WWTR1",8413
"ENSG00000114744.4","COMMD2",4901
"ENSG00000206199.5","ANKUB1",6584
"ENSG00000082996.15","RNF13",3635
"ENSG00000070087.9","PFN2",3440
"ENSG00000268175.1","AC117395.1",1470
"ENSG00000196428.8","TSC22D2",11676
"ENSG00000120742.6","SERP1",5747
"ENSG00000144895.7","EIF2A",4131
"ENSG00000198843.8","SELT",4105
"ENSG00000163645.10","FAM194A",2075
"ENSG00000181788.3","SIAH2",2617
"ENSG00000214237.5","FAM188B2",1071
"ENSG00000260234.1","RP11-166N6.3",1329
"ENSG00000163646.6","CLRN1",3472
"ENSG00000144893.8","MED12L",12619
"ENSG00000174946.5","GPR171",1795
"ENSG00000174944.4","P2RY14",2815
"ENSG00000138271.4","GPR87",1608
"ENSG00000181631.6","P2RY13",2764
"ENSG00000169313.9","P2RY12",1859
"ENSG00000152580.8","IGSF10",11727
"ENSG00000197953.5","AADACL2",5071
"ENSG00000114771.9","AADAC",1668
"ENSG00000198829.5","SUCNR1",4179
"ENSG00000152601.13","MBNL1",9989
"ENSG00000221962.3","TMEM14E",1296
"ENSG00000169860.4","P2RY1",3106
"ENSG00000181467.2","RAP2B",6237
"ENSG00000237787.2","C3orf79",580
"ENSG00000114790.8","ARHGEF26",5489
"ENSG00000174953.9","DHX36",10576
"ENSG00000174948.5","GPR149",2323
"ENSG00000196549.6","MME",9566
"ENSG00000114805.12","PLCH1",7173
"ENSG00000214919.2","AC104472.1",1583
"ENSG00000174928.11","C3orf33",2139
"ENSG00000169359.9","SLC33A1",9627
"ENSG00000163655.11","GMPS",8885
"ENSG00000169282.13","KCNAB1",6414
"ENSG00000114850.2","SSR3",4627
"ENSG00000163659.8","TIPARP",5048
"ENSG00000197980.7","LEKR1",5581
"ENSG00000163660.7","CCNL1",8729
"ENSG00000197415.7","VEPH1",6554
"ENSG00000163661.3","PTX3",1940
"ENSG00000174899.6","C3orf55",3180
"ENSG00000168779.15","SHOX2",3838
"ENSG00000174891.8","RSRC1",5117
"ENSG00000178053.13","MLF1",3569
"ENSG00000168827.10","GFM1",9032
"ENSG00000079257.3","LXN",1504
"ENSG00000118849.5","RARRES1",2236
"ENSG00000118855.14","MFSD1",5288
"ENSG00000250588.2","IQCJ-SCHIP1",4409
"ENSG00000214216.6","IQCJ",2923
"ENSG00000151967.14","SCHIP1",7645
"ENSG00000168811.2","IL12A",2040
"ENSG00000242107.1","CTD-2049J23.3",740
"ENSG00000180044.3","C3orf80",2577
"ENSG00000248710.1","RP11-432B6.3",3360
"ENSG00000068885.10","IFT80",7175
"ENSG00000113810.11","SMC4",8457
"ENSG00000213186.3","TRIM59",7865
"ENSG00000186432.4","KPNA4",9413
"ENSG00000179674.2","ARL14",1286
"ENSG00000163590.9","PPM1L",12447
"ENSG00000169255.9","B3GALNT1",4183
"ENSG00000169251.8","NMD3",4869
"ENSG00000196542.4","SPTSSB",3745
"ENSG00000182447.4","OTOL1",1434
"ENSG00000090402.3","SI",6138
"ENSG00000121871.3","SLITRK3",4892
"ENSG00000114200.5","BCHE",3082
"ENSG00000169064.8","ZBBX",3972
"ENSG00000114204.10","SERPINI2",2835
"ENSG00000174776.6","WDR49",3891
"ENSG00000114209.10","PDCD10",3275
"ENSG00000163536.8","SERPINI1",2418
"ENSG00000173905.4","GOLIM4",4647
"ENSG00000085276.13","MECOM",9103
"ENSG00000184378.2","ACTRT3",2005
"ENSG00000085274.11","MYNN",5730
"ENSG00000171757.11","LRRC34",4851
"ENSG00000188306.6","LRRIQ4",1827
"ENSG00000114248.5","LRRC31",3113
"ENSG00000187033.5","SAMD7",2512
"ENSG00000008952.12","SEC62",7928
"ENSG00000173890.12","GPR160",4458
"ENSG00000173889.11","PHC3",16919
"ENSG00000163558.8","PRKCI",5841
"ENSG00000136603.9","SKIL",7782
"ENSG00000013297.6","CLDN11",6032
"ENSG00000013293.5","SLC7A14",10459
"ENSG00000163584.13","RPL22L1",2326
"ENSG00000163577.3","EIF5A2",5593
"ENSG00000163581.9","SLC2A2",3417
"ENSG00000154310.12","TNIK",8572
"ENSG00000075651.11","PLD1",9953
"ENSG00000183657.2","PP13439",2906
"ENSG00000186329.5","TMEM212",2719
"ENSG00000075420.8","FNDC3B",13299
"ENSG00000267979.1","AC092964.2",249
"ENSG00000203443.2","AC092964.1",198
"ENSG00000121853.3","GHSR",1246
"ENSG00000121858.6","TNFSF10",3473
"ENSG00000144959.5","NCEH1",4808
"ENSG00000269496.1","AC007919.2",258
"ENSG00000114346.9","ECT2",5499
"ENSG00000144962.6","SPATA16",2106
"ENSG00000169760.13","NLGN1",10147
"ENSG00000177694.10","NAALADL2",8680
"ENSG00000177565.11","TBL1XR1",10614
"ENSG00000197584.7","KCNMB2",3585
"ENSG00000172667.6","ZMAT3",9646
"ENSG00000121879.3","PIK3CA",9411
"ENSG00000171121.12","KCNMB3",3234
"ENSG00000121864.5","ZNF639",3811
"ENSG00000171109.14","MFN1",5957
"ENSG00000114450.5","GNB4",3922
"ENSG00000136518.12","ACTL6A",3675
"ENSG00000136522.9","MRPL47",1370
"ENSG00000136521.8","NDUFB5",5871
"ENSG00000058056.4","USP13",8440
"ENSG00000114757.14","PEX5L",10159
"ENSG00000163728.6","TTC14",7783
"ENSG00000145075.7","CCDC39",7695
"ENSG00000114416.13","FXR1",12054
"ENSG00000205981.2","DNAJC19",3586
"ENSG00000181449.2","SOX2",2508
"ENSG00000058063.11","ATP11B",9196
"ENSG00000043093.9","DCUN1D1",8412
"ENSG00000078070.7","MCCC1",4321
"ENSG00000078081.3","LAMP3",3816
"ENSG00000053524.7","MCF2L2",20568
"ENSG00000176597.7","B3GNT5",8140
"ENSG00000172578.7","KLHL6",10546
"ENSG00000114796.11","KLHL24",8650
"ENSG00000163872.11","YEATS2",10212
"ENSG00000180834.3","MAP6D1",2408
"ENSG00000175193.8","PARL",2034
"ENSG00000114770.12","ABCC5",11441
"ENSG00000186090.6","HTR3D",2068
"ENSG00000178084.1","HTR3C",1697
"ENSG00000186038.5","HTR3E",2523
"ENSG00000145191.7","EIF2B5",5975
"ENSG00000161202.13","DVL3",6090
"ENSG00000161203.9","AP2M1",4753
"ENSG00000161204.7","ABCF3",5207
"ENSG00000145198.10","VWA5B2",5730
"ENSG00000214160.5","ALG3",3464
"ENSG00000145194.13","ECE2",6552
"ENSG00000163888.3","CAMK2N2",1362
"ENSG00000175166.12","PSMD2",5453
"ENSG00000114867.15","EIF4G1",8257
"ENSG00000175182.9","FAM131A",6597
"ENSG00000114859.10","CLCN2",4290
"ENSG00000163882.5","POLR2H",3146
"ENSG00000090534.13","THPO",1915
"ENSG00000090539.11","CHRD",6620
"ENSG00000224153.2","RP11-433C9.2",1158
"ENSG00000182580.2","EPHB3",4532
"ENSG00000177383.3","MAGEF1",1681
"ENSG00000156931.11","VPS8",10366
"ENSG00000187068.2","C3orf70",5901
"ENSG00000113790.6","EHHADH",4700
"ENSG00000073803.9","MAP3K13",12623
"ENSG00000163900.6","TMEM41A",8668
"ENSG00000163898.5","LIPH",4122
"ENSG00000163904.8","SENP2",7169
"ENSG00000073792.11","IGF2BP2",4735
"ENSG00000163915.3","C3orf65",3415
"ENSG00000136527.13","TRA2B",11769
"ENSG00000244405.3","ETV5",5802
"ENSG00000058866.10","DGKG",10978
"ENSG00000213139.3","CRYGS",2151
"ENSG00000113838.8","TBCCD1",3405
"ENSG00000090520.6","DNAJB11",6040
"ENSG00000145192.8","AHSG",2353
"ENSG00000090512.7","FETUB",2024
"ENSG00000113905.4","HRG",5061
"ENSG00000113889.7","KNG1",3740
"ENSG00000156976.10","EIF4A2",6133
"ENSG00000163918.6","RFC4",2997
"ENSG00000181092.5","ADIPOQ",4686
"ENSG00000073849.10","ST6GAL1",9151
"ENSG00000163923.5","RPL39L",1060
"ENSG00000175077.5","RTP1",2217
"ENSG00000127241.12","MASP1",12292
"ENSG00000136514.2","RTP4",1554
"ENSG00000157005.3","SST",618
"ENSG00000198471.1","RTP2",1346
"ENSG00000228804.1","RP11-211G3.3",717
"ENSG00000113916.13","BCL6",5938
"ENSG00000145012.8","LPP",25536
"ENSG00000213132.2","AC022498.1",2268
"ENSG00000188001.5","TPRG1",9535
"ENSG00000073282.8","TP63",7454
"ENSG00000090530.5","LEPREL1",5605
"ENSG00000163347.5","CLDN1",3663
"ENSG00000113946.3","CLDN16",3583
"ENSG00000198398.2","TMEM207",1448
"ENSG00000196083.5","IL1RAP",9596
"ENSG00000205835.4","GMNC",3804
"ENSG00000188729.2","OSTN",3219
"ENSG00000188958.5","UTS2B",3850
"ENSG00000152492.9","CCDC50",9202
"ENSG00000253548.1","PYDC2",294
"ENSG00000114279.9","FGF12",7355
"ENSG00000180611.6","MB21D2",3368
"ENSG00000127252.4","HRASLS",1169
"ENSG00000187527.6","ATP13A5",6228
"ENSG00000127249.10","ATP13A4",6013
"ENSG00000198836.4","OPA1",8448
"ENSG00000114315.3","HES1",2062
"ENSG00000178772.6","CPN2",3028
"ENSG00000172061.7","LRRC15",5940
"ENSG00000178732.4","GP5",3563
"ENSG00000133657.10","ATP13A3",10099
"ENSG00000145014.13","TMEM44",4561
"ENSG00000041802.6","LSG1",4818
"ENSG00000185112.4","FAM43A",3141
"ENSG00000173950.11","XXYLT1",5409
"ENSG00000114331.8","ACAP2",11088
"ENSG00000184203.3","PPP1R2",5128
"ENSG00000189058.4","APOD",2197
"ENSG00000176945.12","MUC20",8086
"ENSG00000145113.17","MUC4",21325
"ENSG00000061938.12","TNK2",11297
"ENSG00000072274.8","TFRC",7887
"ENSG00000163958.9","ZDHHC19",2432
"ENSG00000163959.5","SLC51A",5293
"ENSG00000161217.7","PCYT1A",7978
"ENSG00000272741.1","RP11-447L10.1",708
"ENSG00000213123.6","TCTEX1D2",1246
"ENSG00000273331.1","TM4SF19",964
"ENSG00000145107.11","TM4SF19",1896
"ENSG00000163960.7","UBXN7",11291
"ENSG00000163961.4","RNF168",5347
"ENSG00000214097.4","SMCO1",1868
"ENSG00000185798.6","WDR53",1789
"ENSG00000174013.7","FBXO45",5976
"ENSG00000174004.5","NRROS",2910
"ENSG00000163964.9","PIGX",4446
"ENSG00000174007.7","CEP19",2201
"ENSG00000180370.6","PAK2",6270
